Year,Current account balance (% of GDP),Exports of goods and services (% of GDP),GDP (current US$),Final consumption expenditure (% of GDP),Imports of goods and services (% of GDP),"Industry (including construction), value added (% of GDP)","Inflation, consumer prices (annual %)",Gross capital formation (% of GDP)
1991,-1.58891131223691,8.49424077053547,270.105341879226,78.0968001480887,8.49348578059959,26.4417201769254,13.8702461773683,25.1405052782292
1992,-1.55624498023457,8.84292692502088,288.208070278013,76.6593851383476,9.59017211680717,26.7927432696344,11.7878170418134,27.44020415513
1993,-0.671618869530872,9.83421745486326,279.295648982529,76.4542220201817,9.81732233160511,26.7815542820739,6.32689048779867,22.716410511618
1994,-0.512193818555587,9.8880849164454,327.274843459429,75.2766533814778,10.1900594604801,27.6282012473106,10.2479355556119,26.3101665553988
1995,-1.54413181166043,10.8439680350622,360.28190964348903,74.2407283976666,12.0234806711877,28.5998094242024,10.2248861637544,29.1523371515588
1996,-1.51595497295368,10.3851692716063,392.896866204516,74.8861078483603,11.5443185997804,27.9122703698412,8.97715233826453,22.7592531809279
1997,-0.713014326393888,10.690717318379,415.86756359282896,74.9405585264793,11.9286695486689,27.8370307633106,7.16425211462724,25.6927329065132
1998,-1.63832533358649,11.0184691793102,421.351317224941,75.7186237600651,12.6810008997545,27.3030378517565,13.2308389767977,24.9753699423901
1999,-0.703547232193242,11.4520646128009,458.82105261579,76.184976149322,13.363533431492,26.5192933488596,4.66982038037594,30.9580879683861
2000,-0.982342580017138,12.9972363113479,468.395521654458,75.6868166096236,13.9036865990995,27.3258283775917,4.0094359104519,25.677316683955
2001,0.290495460210207,12.5583796339108,485.44013920417103,75.9083073165393,13.4348751195257,26.4877773440307,3.77929312235637,29.9078889827325
2002,1.37093793900847,14.2643839243147,514.939140318756,74.3437418253318,15.2442790107467,27.6606541607882,4.29715203929563,30.2513001207186
2003,1.44355773291234,14.9479138581734,607.700687237318,72.3799675224519,15.6445222747346,27.4741071211988,3.80585899528851,30.8396999424416
2004,0.110018010197153,17.8591249630479,709.152728830775,68.7562502876863,19.6446890963991,29.219106305293,3.76725173477515,35.0964917017773
2005,-1.25350400207393,19.6052466948335,820.383763511445,67.744870132719,22.3964229200356,29.5337641914637,4.24634362031922,37.4282640165983
2006,-0.988988302952292,21.2679414221966,940.2598887877209,65.9124158733367,24.4565390770687,30.9272399435883,5.79652337561634,38.9985063717532
2007,-0.66371764877261,20.7996997489032,1216.73643883496,65.6226268039459,24.8865689304448,30.9032382510869,6.37288135593231,41.9507982267334
2008,-2.58337749259838,24.0973572601391,1198.8951390059199,67.2152971379759,29.2708631790835,31.1367192409548,8.34926704907581,38.4224196528192
2009,-1.95146209111802,20.4005193743564,1341.8880169949,67.4195558848204,25.8723502685274,31.1213721116744,10.8823529411764,39.2567917551336
2010,-3.25348368945179,22.4009332487945,1675.61551948496,65.7324656294299,26.8542732486216,30.7250782285817,11.9893899204244,39.7856241847736
2011,-3.42928468606061,24.5404113195713,1823.05182989455,67.291680169943,31.0834686939585,30.1616797630407,8.91179336483371,39.590421855219
2012,-5.00488971805303,24.534430661418,1827.63759041041,67.1448100211522,31.2592910673332,29.3985276965289,9.47899691419801,38.3474156730403
2013,-2.64566711733892,25.430861300519,1856.72150762158,67.9409262328002,28.4132706461587,28.4048995600246,10.0178784746102,34.0231978997548
2014,-1.33950896483453,22.9679630081172,2039.12647915452,68.5685739094317,25.9542227389497,27.6564012026443,6.66565671867899,34.2678056268836
2015,-1.06754907167965,19.8131891564045,2103.58836004494,69.4355717869932,22.1097247094602,27.34739147794,4.90697344127256,32.1167301358276
2016,-0.52788060603752,19.1582349105946,2294.79688566316,69.6038293075294,20.9242508026814,26.6189999399789,4.94821634062141,30.172690580036
2017,-1.43948820320989,18.7917648392982,2651.47426275545,69.4923486310466,21.9507321152243,26.5000166464804,3.32817337461298,30.9821728344733
2018,-2.42697545810527,19.9278285988562,2702.92964164874,70.1115413382452,23.6891407335327,26.4120919013735,3.9388264669163,32.3432182154485
2019,-1.04961203910072,18.664264897257,2835.60625655819,71.9139631514218,21.2411386333872,24.5914753075066,3.72950573539129,30.0961975685688
2020,1.22362111042791,18.6824769296756,2674.85157858727,72.7105811209123,19.0756283996012,25.1229058078344,6.62343677628535,28.9223840080659
2021,-1.05524166809383,21.3991583305515,3167.27062326047,71.4267578736418,24.0239304534931,26.466523606501,5.13140747176369,32.1158221755014
2022,-2.36247481487452,23.2515412045298,3346.1072877309302,71.7186722536094,26.8237289453584,25.3845195629461,6.69903414079852,33.6192585388984
2023,-0.878449448896405,21.4486977833541,3638.48909603386,70.493511044368,23.544144504402,25.302936496264,5.64914318907925,33.3623103638844
2024,-0.828801355740078,21.1781223210845,3912.68616858221,71.6312859011884,23.4929703141577,24.4649305051595,4.95303550973656,32.6109099957867
